bleu
super
autre
bizarre
difficile
drôle
facile
grave
impossible
jeune
juste
libre
malade
pauvre
possible
propre
rouge
sale
simple
tranquille
triste
vide
doux
faux
gros
heureux
mauvais
vieux
vrai
ancien
beau
blanc
certain
chaud
cher
clair
content
dernier
droit
entier
fort
froid
gentil
grand
haut
humain
important
joli
long
meilleur
mort
noir
nouveau
pareil
petit
plein
premier
prochain
seul
tout
vert
vivant
