abri
absence
absolu
accent
accord
acte
action
affaire
agent
aide
aile
air
ami
amour
an
ancien
anglais
angoisse
animal
apparence
appartement
appel
arbre
argent
arme
art
article
as
aspect
attente
attention
attitude
auteur
autre
avance
avenir
aventure
avis
banc
bande
barbe
bas
bataille
beau
beaux
besoin
bien
billet
bizarre
blanc
bleu
blond
bois
bon
bonheur
bord
bouche
bout
branche
bras
bruit
bureau
but
cabinet
calme
camarade
campagne
capable
carte
cas
cause
cent
centre
cercle
certain
certainement
cerveau
cesse
chair
chaise
chaleur
chambre
champ
chance
changement
chant
charge
chasse
chat
chaud
chef
chemin
chemise
cher
cheval
cheveu
chien
chiffre
choix
chose
chute
ciel
cinq
cinquante
circonstance
clair
claire
classe
clef
coin
colline
colon
combat
commencement
commun
compagnie
compagnon
complet
compte
condition
confiance
connaissance
conscience
conseil
content
contraire
conversation
corde
corps
cou
couche
couleur
coup
cour
courage
courant
cours
course
court
crainte
cri
crise
croix
cruel
cuisine
curieux
dame
danger
dangereux
dehors
demain
demande
demi
dent
dernier
deux
devoir
dieu
difficile
digne
dimanche
direction
discours
discussion
distance
divers
dix
docteur
doigt
dos
double
douceur
douleur
doute
doux
douze
drame
droit
droite
dur
eau
eaux
effet
effort
empire
endroit
enfance
enfant
ennemi
ensemble
entier
envie
erreur
escalier
espace
espoir
esprit
est
exemple
existence
explication
expression
extraordinaire
face
facile
faible
faim
fait
famille
fatigue
faute
fauteuil
faux
faveur
façon
femme
fer
ferme
feu
feuille
fier
figure
fil
fille
fils
fin
fine
fixe
flamme
fleur
flot
foi
fois
folie
fonction
fond
force
forme
fort
fortune
fou
foule
frais
franc
franã§ais
français
françois
froid
front
fruit
fusil
garde
gauche
genou
genre
gens
gentil
geste
glace
gloire
goutte
gouvernement
grain
grand
grave
gris
gros
groupe
guerre
habitant
habitude
haine
hasard
haut
haute
hauteur
herbe
heure
heureux
histoire
hiver
homme
honneur
honte
horizon
huit
humain
humide
illusion
image
immense
immobile
importance
important
impossible
impression
incapable
inconnu
instant
instinct
instrument
intelligence
intention
inutile
jambe
jardin
jaune
jeu
jeune
jeunesse
joie
joli
joue
jour
journal
juge
juif
juste
justice
large
larme
lendemain
lettre
leçon
libre
lien
lieu
ligne
lit
livre
loi
long
loup
lourd
lueur
lune
lutte
machine
madame
magnifique
main
maison
mal
malade
maladie
malheur
manche
manier
marchand
marche
mari
mariage
masse
matin
mauvais
meilleur
membre
mensonge
mer
mesure
midi
milieu
militaire
mille
million
mince
mine
ministre
minute
miser
mode
moindre
mois
moment
monde
monsieur
montagne
morceau
mort
mot
mouvement
moyen
muet
mur
musique
naissance
nation
nature
naturel
nerveux
neuf
nez
noir
noire
nom
nombre
nombreux
nord
note
nouveau
nu
nuage
nuit
objet
occasion
odeur
oeil
officier
oiseau
ombre
oncle
or
ordre
oreille
ouvert
ouvrage
page
pain
paix
palais
papa
papier
paquet
pareil
parent
parfait
parfaitement
parole
part
parti
particulier
partie
pas
passage
passion
patron
pauvre
pays
paysage
paysan
peau
peine
perdu
personnage
personne
perte
petit
peuple
peur
phrase
pied
pierre
place
plaine
plaisir
plan
planche
plante
plein
pluie
poche
poids
point
pointe
poitrine
police
politique
pont
port
porte
portier
position
possible
poste
pouvoir
premier
preuve
prince
principe
printemps
prison
prix
probablement
prochain
professeur
profond
projet
propos
propre
public
puissance
puissant
pur
quarante
quart
quartier
quatre
quel
question
queue
quinze
quoi
race
rage
raison
rang
rapide
rapport
rare
rayon
recherche
regard
relation
religion
rencontre
repas
reproche
respect
reste
retour
riche
rideau
rire
robe
roche
rocher
roi
roman
rond
rose
rouge
route
rue
ruine
sable
sac
saint
saison
sale
salle
salut
sang
sauvage
savoir
science
sec
second
seconde
secours
secret
seigneur
sein
semaine
semblable
sens
sentier
sentiment
sept
service
seuil
seul
signe
silence
silencieux
simple
situation
six
social
soin
soir
sol
soldat
soleil
solitude
sombre
somme
sommeil
sommet
son
sorte
sou
souci
souffrance
source
sourd
sourire
souvenir
spectacle
sueur
suite
suivant
sujet
super
table
tache
taille
tapis
temps
tendre
terme
terrain
terre
terreur
terrible
titre
toile
toit
tombe
ton
tour
tout
toute
trace
train
trait
tranquille
travail
travers
trente
triste
trois
trou
type
un
unique
usage
vague
valeur
vaste
veille
vent
ventre
verre
vers
vert
victime
vide
vie
vieil
vieillard
vieux
vif
village
ville
vin
vingt
violence
violent
visage
visible
vision
visite
vivant
voie
voile
voisin
voiture
voix
vol
voyage
vrai
vue
yeux
