Site;CP;Ville;Nb;Premier;Dernier
CHRONOPOST MARNE LA VALLEE;77164;FERRIERES EN BRIE;  4;2021-05-14;2021-09-24
CHRONOPOST HUB BRIE;77170;BRIE-COMTE-ROBERT; 19;2019-08-16;2020-09-21
CHRONOPOST VERSAILLES COIGNIERES;78310;COIGNIERES; 22;2021-04-02;2021-05-17
CHRONOPOST VERSAILLES COIGNIERES ;78310;COIGNIERES;  1;2021-10-26;2021-10-26
CHRONOPOST BUC;78530;BUC;  3;2020-10-27;2020-10-27
ATELIER DU BOCAGE;79140;LE PIN;  1;2020-12-16;2020-12-16
CHRONOPOST NIORT;79230;AIFFRES; 16;2021-07-05;2021-07-05
AGENCE CHRONOPOST D'AMIENS;80440;GLISY;  1;2020-01-20;2020-01-20
CHRONOPOST AMIENS;80440;GLISY;  4;2019-05-31;2020-11-16
CHRONOPOST AMIENS ;80440;GLISY;  3;2020-01-29;2020-01-29
CHRONOPOST ALBI;81150;TERSAC;  3;2019-11-15;2021-06-16
CHRONOPOST TOULON;83210;LA FARLEDE FRANCE; 28;2020-02-04;2021-10-14
CHRONOPOST FREJUS;83600;FREJUS; 15;2020-03-03;2021-09-15
CHRONOPOST LIMOGES;87280;LIMOGES ; 16;2019-06-18;2021-03-12
CHRONOPOST HUB CHILLY MAZARIN (CMZ);91380;CHILLY MAZARIN;  1;2021-08-18;2021-08-18
AGENCE CHRONOPOST VILLENEUVE LA GARENNE;92390;VILLENEUVE LA GARENNE;  1;2020-03-12;2020-03-12
CHRONOPOST VILLENEUVE;92390;VILLENEUVE LA GARENNE;  4;2020-04-16;2021-09-24
CHRONOPOST VILLENEUVE LA GARENNE;92390;VILLENEUVE LA GARENNE; 20;2020-02-27;2021-09-22
AGENCE DE BOBIGNY;93000;BOBIGNY;  2;2019-09-19;2019-09-19
CHRONOPOST BOBIGNY;93000;BOBIGNY FRANCE; 19;2020-02-05;2020-09-23
CEMI ;93100;MONTREUIL; 12;2021-07-07;2021-07-07
CEMI POUR  METAL + / TMC;93100;MONTREUIL; 36;2021-05-11;2021-09-27
METAL + / TCM;93100;MONTREUIL; 50;2020-08-18;2020-09-14
METAL + / TMC;93100;MONTREUIL; 12;2021-03-15;2021-03-15
CHRONOPOST AULNAY HNI (HUB NORD IDF);93600;AULNAY SOUS BOIS;  5;2020-09-25;2020-09-25
CHRONOPOST HUB AULNAY HNI (NORD IDF);93600;AULNAY SOUS BOIS; 15;2021-08-25;2021-08-25
CHRONOPOST HUB NORD ILE DE FRANCE;93600;AULNAY SOUS BOIS;  5;2021-07-07;2021-07-07
CHRONOPOST ALFORTVILLE;94140;ALFORTVILLE;  1;2020-01-23;2020-01-23
CHRONOPOST RUNGIS;94150;RUNGIS; 21;2020-03-18;2020-10-08
CHRONOPOST DIPSI;94250;GENTILLY;  1;2019-01-02;2019-01-02
CHRONOPOST FRAIS COMMUNS ;94250;GENTILLY;  2;2019-02-07;2019-02-07
CHRONOPOST HUB LIMEIL BREVANNES;94450;LIMEIL BREVANNES; 19;2020-10-29;2020-10-29
AGENCE DE RUNGIS;94579;RUNGIS CEDEX;  6;2021-06-22;2021-06-22
CHRONOPOST ARGENTEUIL;95100;ARGENTEUIL; 14;2021-10-05;2021-10-05
AGENCE CHRONOPOST DE CORMEILLES EN PARISIS;95240;CORMEILLES EN PARISIS;  7;2019-10-03;2019-10-03
CHRONOPOST CORMEILLES EN PARISIS;95240;CORMEILLES EN PARISIS;  1;2021-04-14;2021-04-14
CHRONOPOST CERGY PONTOISE;95310;ST OUEN L AUMONE; 18;2020-01-14;2020-01-14
